WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Port Elizabeth,-33.918,25.5701,78.8,61,40,24.16,ZA,2021-02-07 09:30:07
93,Nehe,48.4833,124.8333,-4.81,88,0,5.32,CN,2021-02-07 09:35:15
94,Baft,29.234,56.6057,53.8,34,56,9.1,IR,2021-02-07 09:35:15
95,Narsaq,60.9167,-46.05,41.0,30,75,44.87,GL,2021-02-07 09:31:36
96,Patti,31.2808,74.8572,71.6,52,0,6.91,IN,2021-02-07 09:35:15
97,Ust-Kuyga,70.0167,135.6,-29.31,82,32,4.76,RU,2021-02-07 09:35:15
98,Haines Junction,60.7522,-137.5108,-18.4,69,95,1.14,CA,2021-02-07 09:32:18
99,Perdoes,-21.0908,-45.0914,62.08,89,100,5.46,BR,2021-02-07 09:34:50
100,Ponta Do Sol,32.6667,-17.1,59.0,63,88,1.01,PT,2021-02-07 09:31:49
101,Okha,53.5739,142.9478,7.29,94,100,20.07,RU,2021-02-07 09:35:16
102,Muros,42.7762,-9.0603,44.01,94,100,1.01,ES,2021-02-07 09:35:16
103,Qostanay,53.1667,63.5833,10.4,67,0,35.79,KZ,2021-02-07 09:35:16
104,Isangel,-19.55,169.2667,79.43,76,75,4.41,VU,2021-02-07 09:27:59
105,Tucuman,-26.8241,-65.2226,66.2,88,0,5.75,AR,2021-02-07 09:32:44
106,Ambilobe,-13.2,49.05,87.3,65,99,5.61,MG,2021-02-07 09:32:40
107,Bredasdorp,-34.5322,20.0403,69.8,64,100,8.05,ZA,2021-02-07 09:31:40
108,Huangzhou,30.45,114.8,50.0,100,90,4.47,CN,2021-02-07 09:34:53
109,Aklavik,68.2191,-135.0107,-13.0,77,100,5.75,CA,2021-02-07 09:31:48
110,Berlevag,70.8578,29.0864,24.15,93,100,21.16,NO,2021-02-07 09:32:42
111,Athabasca,54.7169,-113.2854,-40.0,66,0,2.3,CA,2021-02-07 09:32:38
112,Port Alfred,-33.5906,26.891,75.99,76,41,5.01,ZA,2021-02-07 09:31:27
113,Terrak,65.087,12.3715,24.8,68,0,4.61,NO,2021-02-07 09:35:18
114,Olawa,50.9466,17.2926,21.99,81,100,5.01,PL,2021-02-07 09:34:39
115,Yeppoon,-23.1333,150.7333,87.8,58,95,12.66,AU,2021-02-07 09:35:18
116,Monster,52.0258,4.175,26.01,93,75,25.32,NL,2021-02-07 09:35:18
117,Ossipee,43.6854,-71.1167,15.01,76,92,2.3,US,2021-02-07 09:35:19
118,Kodiak,57.79,-152.4072,23.0,68,1,6.91,US,2021-02-07 09:31:39
119,Bonavista,48.6499,-53.1147,32.0,74,0,11.5,CA,2021-02-07 09:31:47
120,Salamiyah,35.0113,37.0532,64.56,47,0,11.72,SY,2021-02-07 09:34:40
121,Ayan,56.45,138.1667,-3.41,80,100,19.71,RU,2021-02-07 09:35:19
122,Beringovskiy,63.05,179.3167,-6.97,91,99,12.91,RU,2021-02-07 09:32:15
123,Starokozache,46.3372,29.9853,28.0,86,90,11.18,UA,2021-02-07 09:35:19
124,Nelson Bay,-32.7167,152.15,73.4,83,0,10.36,AU,2021-02-07 09:35:19
